benchmark,duration_ns,uptime_ns,vm_start_unix_ms
rx-scrabble,6431679449,11250038022,1749210295714
rx-scrabble,1031763233,18167485135,1749210295714
rx-scrabble,936115675,19493736437,1749210295714
rx-scrabble,955512372,20681058319,1749210295714
rx-scrabble,1022076146,21799566647,1749210295714
rx-scrabble,819005401,23018024975,1749210295714
rx-scrabble,794830351,24087228104,1749210295714
rx-scrabble,922683779,25111295368,1749210295714
rx-scrabble,793211723,26178465223,1749210295714
rx-scrabble,795199792,27143062556,1749210295714
rx-scrabble,801571066,28146015123,1749210295714
rx-scrabble,924689430,29153856207,1749210295714
rx-scrabble,787064065,30215444267,1749210295714
rx-scrabble,799467351,31173753963,1749210295714
rx-scrabble,790131241,32188835560,1749210295714
rx-scrabble,920595274,33185960859,1749210295714
rx-scrabble,788101038,34241833039,1749210295714
rx-scrabble,783024629,35199312421,1749210295714
rx-scrabble,788236658,36187680474,1749210295714
rx-scrabble,939338271,37180917836,1749210295714
rx-scrabble,787093837,38253961868,1749210295714
rx-scrabble,794116295,39209046366,1749210295714
rx-scrabble,794238938,40205894127,1749210295714
rx-scrabble,933273687,41206741400,1749210295714
rx-scrabble,797816645,42275045633,1749210295714
rx-scrabble,797675671,43240799538,1749210295714
rx-scrabble,794714390,44245563950,1749210295714
rx-scrabble,947168217,45244126971,1749210295714
rx-scrabble,812656093,46330038557,1749210295714
rx-scrabble,802682202,47313435360,1749210295714
rx-scrabble,791148326,48327132433,1749210295714
rx-scrabble,924879780,49327291765,1749210295714
rx-scrabble,780911629,50410047662,1749210295714
rx-scrabble,797679397,51361761932,1749210295714
rx-scrabble,811076294,52364934519,1749210295714
rx-scrabble,924184728,53385351836,1749210295714
rx-scrabble,794569411,54454049773,1749210295714
rx-scrabble,810492258,55419617503,1749210295714
rx-scrabble,781957338,56438838444,1749210295714
rx-scrabble,922969528,57428541767,1749210295714
rx-scrabble,789515766,58485892215,1749210295714
rx-scrabble,788808603,59451099766,1749210295714
rx-scrabble,814941206,60447557659,1749210295714
rx-scrabble,931611922,61468051041,1749210295714
rx-scrabble,798989254,62535464957,1749210295714
rx-scrabble,787164662,63517310416,1749210295714
rx-scrabble,790334275,64522965167,1749210295714
rx-scrabble,975909736,65524140534,1749210295714
rx-scrabble,788313105,66636190502,1749210295714
rx-scrabble,808121198,67594279759,1749210295714
rx-scrabble,802887867,68614092108,1749210295714
rx-scrabble,924402813,69623363335,1749210295714
rx-scrabble,786265384,70681541799,1749210295714
rx-scrabble,810131878,71636573756,1749210295714
rx-scrabble,781704082,72649422964,1749210295714
rx-scrabble,915523997,73636110477,1749210295714
rx-scrabble,803853042,74691344122,1749210295714
rx-scrabble,784889066,75664778968,1749210295714
rx-scrabble,802940403,76654506558,1749210295714
rx-scrabble,935463949,77661843642,1749210295714
rx-scrabble,781803525,78731610013,1749210295714
rx-scrabble,790743808,79681047921,1749210295714
rx-scrabble,791878744,80685890240,1749210295714
rx-scrabble,913787285,81688169683,1749210295714
rx-scrabble,808020095,82737066819,1749210295714
rx-scrabble,789557089,83712747847,1749210295714
rx-scrabble,775317310,84709335550,1749210295714
rx-scrabble,915154095,85689461400,1749210295714
rx-scrabble,789203073,86735812439,1749210295714
rx-scrabble,794810600,87693260141,1749210295714
rx-scrabble,779324194,88690371080,1749210295714
rx-scrabble,912791197,89670490055,1749210295714
rx-scrabble,791005243,90717166227,1749210295714
rx-scrabble,808145878,91674639335,1749210295714
rx-scrabble,780012901,92690534466,1749210295714
rx-scrabble,922397639,93677562912,1749210295714
rx-scrabble,779759153,94735216851,1749210295714
rx-scrabble,792953716,95683483806,1749210295714
rx-scrabble,802969392,96680330177,1749210295714
rx-scrabble,911601067,97688754852,1749210295714
rx-scrabble,786002920,98732199624,1749210295714
rx-scrabble,802600623,99685651515,1749210295714
rx-scrabble,805803448,100690885894,1749210295714
rx-scrabble,923594389,101696825863,1749210295714
rx-scrabble,776191227,102750688549,1749210295714
rx-scrabble,802515525,103692743099,1749210295714
rx-scrabble,784551266,104695841757,1749210295714
rx-scrabble,913884061,105683180305,1749210295714
rx-scrabble,782820355,106731731720,1749210295714
rx-scrabble,789430397,107680577065,1749210295714
rx-scrabble,789441869,108673670092,1749210295714
rx-scrabble,955829272,109678567175,1749210295714
rx-scrabble,782280349,110769192336,1749210295714
rx-scrabble,788189540,111719904101,1749210295714
rx-scrabble,776057784,112707847875,1749210295714
rx-scrabble,938284409,113684050936,1749210295714
rx-scrabble,816182422,114756056557,1749210295714
rx-scrabble,783637163,115739780556,1749210295714
rx-scrabble,779463936,116726276866,1749210295714
rx-scrabble,919812316,117708680794,1749210295714
rx-scrabble,787284003,118759526113,1749210295714
